id,played_at,my_deck,opponent_deck,opponent_raw,coin_result,coin_toss,result,rank_label,season,event_type,source,ocr_confidence,confirmed,notes
1,2026-06-08T22:48:02,킬러튠,낙인,,second,loss,win,,2026-06,ranked,ocr,0.5027532674318318,1,
2,2026-06-08T22:54:16,킬러튠,아르토메기아,,first,win,loss,,2026-06,ranked,ocr,0.5723605796374129,1,
3,2026-06-08T22:55:29,킬러튠,킬러튠,,first,win,win,,2026-06,ranked,ocr,0.5129165444577307,1,
4,2026-06-08T23:03:18,킬러튠,낙인,,first,win,win,,2026-06,ranked,ocr,0.513136511375948,1,
5,2026-06-08T23:21:43,킬러튠,에니아크래프트,,first,win,win,,2026-06,ranked,ocr,0.5240905528147909,1,
6,2026-06-09T11:31:59,후완다리즈,낙인,,first,win,loss,,2026-06,ranked,ocr,0.8507566399011736,1,
7,2026-06-09T11:34:04,후완다리즈,야미,,second,loss,loss,,2026-06,ranked,ocr,0.50631407851963,1,
8,2026-06-09T11:36:32,후완다리즈,히어로,,second,loss,win,,2026-06,ranked,ocr,0.5109797487132229,1,
9,2026-06-09T11:40:46,후완다리즈,십이수,,second,loss,loss,,2026-06,ranked,ocr,0.912621359223301,1,
10,2026-06-09T11:47:07,후완다리즈,엑소시스터,,second,loss,loss,,2026-06,ranked,ocr,0.842562514164841,1,
11,2026-06-09T11:55:42,낙인/드래곤테일,낙인,,second,loss,win,,2026-06,ranked,ocr,0.5019651137116361,1,
12,2026-06-09T11:58:57,낙인/드래곤테일,아포피스,,second,loss,win,,2026-06,ranked,ocr,0.5138207707085546,1,
13,2026-06-09T21:22:46,낙인/드래곤테일,크샤트리라,,first,win,loss,,2026-06,ranked,ocr,0.508617312965139,1,
14,2026-06-10T15:56:45,킬러튠,WCS,,second,loss,win,,2026-06,wcs,ocr,0.513623424156161,1,
15,2026-06-10T15:58:28,킬러튠,WCS,,first,win,win,,2026-06,wcs,ocr,0.5110731389257369,1,
16,2026-06-10T16:00:02,킬러튠,WCS,,first,win,win,,2026-06,wcs,ocr,0.5134146341463415,1,
17,2026-06-10T16:17:34,킬러튠,WCS,,first,win,loss,,2026-06,wcs,ocr,0.7220380513116171,1,
18,2026-06-10T16:25:14,킬러튠,WCS,,first,win,win,,2026-06,wcs,ocr,0.5120962292201648,1,
19,2026-06-10T16:33:12,킬러튠,WCS,,first,win,win,,2026-06,wcs,ocr,0.5850532708837305,1,
20,2026-06-10T16:38:56,킬러튠,WCS,,first,win,win,,2026-06,wcs,ocr,0.5206219799848856,1,
21,2026-06-10T17:03:22,킬러튠,WCS,,first,win,win,,2026-06,wcs,ocr,0.5257875017345853,1,
22,2026-06-10T17:06:13,킬러튠,WCS,,second,loss,loss,,2026-06,wcs,ocr,0.7541887125220459,1,
23,2026-06-10T17:16:54,킬러튠,WCS,,second,loss,loss,,2026-06,wcs,ocr,0.6238952978479391,1,
24,2026-06-10T17:20:52,킬러튠,WCS,,first,win,loss,,2026-06,wcs,ocr,0.7343886145803079,1,
25,2026-06-10T20:31:59,킬러튠,WCS,,second,loss,loss,,2026-06,wcs,ocr,0.6139185289577881,1,
26,2026-06-10T20:33:50,킬러튠,WCS,,first,loss,win,,2026-06,wcs,ocr,0.5181420366487374,1,
27,2026-06-10T20:40:42,킬러튠,WCS,,first,win,win,,2026-06,wcs,ocr,0.5194680559363861,1,
28,2026-06-10T20:42:13,킬러튠,WCS,,first,win,win,,2026-06,wcs,ocr,0.5128818300771556,1,
29,2026-06-10T20:48:15,킬러튠,WCS,,first,win,win,,2026-06,wcs,ocr,0.5235233160621762,1,
30,2026-06-10T20:53:46,킬러튠,WCS,,second,loss,win,,2026-06,wcs,ocr,0.5858070500927643,1,
31,2026-06-10T20:56:41,킬러튠,WCS,,first,win,win,,2026-06,wcs,ocr,0.5329238847605429,1,
32,2026-06-10T21:13:58,킬러튠,WCS,,first,win,win,,2026-06,wcs,ocr,0.550500036322251,1,
33,2026-06-10T21:23:03,킬러튠,WCS,,first,win,win,,2026-06,wcs,ocr,0.51181953262191,1,
34,2026-06-10T21:27:02,킬러튠,WCS,,first,win,loss,,2026-06,wcs,ocr,0.9157817946016049,1,
35,2026-06-10T21:27:50,킬러튠,WCS,,first,win,win,,2026-06,wcs,ocr,0.5168815224063843,1,
36,2026-06-10T21:29:10,킬러튠,WCS,,second,loss,loss,,2026-06,wcs,ocr,0.0,1,
37,2026-06-10T21:30:50,킬러튠,WCS,,second,loss,loss,,2026-06,wcs,ocr,0.8789586000853606,1,
38,2026-06-13T23:26:53,킬러튠,WCS,,second,loss,win,,2026-06,wcs,ocr,0.6417038333427426,1,
39,2026-06-13T23:27:52,킬러튠,WCS,,second,loss,win,,2026-06,wcs,ocr,0.5103745621126381,1,
40,2026-06-13T23:43:58,킬러튠,WCS,,second,loss,loss,,2026-06,wcs,ocr,0.5635832521908472,1,
41,2026-06-13T23:50:36,킬러튠,WCS,,first,win,win,,2026-06,wcs,ocr,0.5112095522925052,1,
42,2026-06-14T00:00:31,킬러튠,WCS,,first,win,win,,2026-06,wcs,ocr,0.6573270876705991,1,
43,2026-06-14T00:10:21,킬러튠,WCS,,first,win,win,,2026-06,wcs,ocr,0.7110721772048931,1,
44,2026-06-14T00:16:02,킬러튠,WCS,,first,win,win,,2026-06,wcs,ocr,0.5175286832999454,1,
45,2026-06-14T00:22:58,킬러튠,WCS,,first,win,win,,2026-06,wcs,ocr,0.5192070524825286,1,
46,2026-06-14T00:33:24,킬러튠,WCS,,first,win,win,,2026-06,wcs,ocr,0.6097089982566716,1,
47,2026-06-15T23:26:31,낙인/드래곤테일,킬러튠,,first,win,win,,2026-06,wcs,ocr,0.5110831347511353,1,
48,2026-06-15T23:32:30,낙인/드래곤테일,WCS,,first,win,win,,2026-06,wcs,ocr,0.7064970609274407,1,
49,2026-06-15T23:44:09,낙인/드래곤테일,WCS,,first,win,loss,,2026-06,wcs,ocr,0.5534970190396821,1,
50,2026-06-15T23:56:35,낙인/드래곤테일,WCS,,first,win,win,,2026-06,wcs,ocr,0.5152181303116148,1,
51,2026-06-16T00:07:08,낙인/드래곤테일,섬도,,first,win,win,,2026-06,wcs,ocr,0.5107157298827335,1,
52,2026-06-16T00:16:46,낙인/드래곤테일,엘펜노츠,,first,win,win,,2026-06,wcs,ocr,0.5097221287761555,1,
53,2026-06-16T00:29:39,낙인/드래곤테일,ARG☆S(아르고스타즈),,first,loss,win,,2026-06,wcs,ocr,0.5238128153729177,1,
